,horizon,mse,rmse,mae,mape,coverage
250,0 days 11:00:00.000000000,0.518883434693052,0.7203356403046096,0.5906410111212288,0.054051616658789846,0.9838709677419355
178,0 days 11:00:00.000000000,0.5195963902382286,0.7208303477505845,0.5919952168628587,0.05430718829240126,0.9838709677419355
490,0 days 11:00:00.000000000,0.5310126595222645,0.728706154442423,0.598600550488538,0.05462107968917386,0.9838709677419355
82,0 days 11:00:00.000000000,0.5314262148280481,0.7289898592079647,0.6002638086902262,0.05478481612756743,0.9838709677419355
394,0 days 11:00:00.000000000,0.5089722024833565,0.7134228777403739,0.5911159329798136,0.05363302248754828,1.0
34,0 days 11:00:00.000000000,0.5089774313908473,0.7134265423930114,0.5913496480373355,0.05364986059394535,1.0
202,0 days 11:00:00.000000000,0.5183219057079832,0.7199457658101638,0.5965876145681372,0.054324505304253666,1.0
274,0 days 11:00:00.000000000,0.5156951675222246,0.7181191875463463,0.5909759310476709,0.053649493948673216,1.0
418,0 days 11:00:00.000000000,0.5160117308862743,0.7183395651683641,0.5911032794639381,0.053714948676119055,1.0
562,0 days 11:00:00.000000000,0.5230129955353391,0.7231963741165598,0.5980546125994404,0.054105542586958606,1.0
130,0 days 11:00:00.000000000,0.5434654406879471,0.73720108565299,0.6083216452757589,0.054727878816567994,1.0
371,0 days 12:00:00.000000000,0.5455694549918894,0.7386267359037915,0.6125906689007155,0.055052191163240526,1.0
443,0 days 12:00:00.000000000,0.5198762625072367,0.721024453473831,0.6008739820952453,0.05431052187714015,1.0
563,0 days 12:00:00.000000000,0.5409606596854123,0.7355002785080453,0.6146249433128268,0.05480119054197452,1.0
323,0 days 12:00:00.000000000,0.5495946369132756,0.7413465025973183,0.6196782166121345,0.05486245484223438,1.0
467,0 days 12:00:00.000000000,0.58339342621215,0.7638019548365597,0.6324830320123247,0.05510512539057475,0.9838709677419355
